epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,9058.16,1.0783,0.67878,1.20691,0.98837,0.95904,0.99013,0.64428,1.31797,0.48858,1.45351,0.005512,0.005512,0.005512
138,9124.13,1.06943,0.6735,1.2021,0.98496,0.95563,0.98714,0.64405,1.31209,0.48686,1.45051,0.005479,0.005479,0.005479
139,9190.07,1.06389,0.67103,1.18721,0.99127,0.95563,0.98885,0.64839,1.30308,0.48779,1.44153,0.005446,0.005446,0.005446
140,9256.09,1.07041,0.6776,1.20106,0.97921,0.96459,0.98666,0.64861,1.2994,0.48688,1.4397,0.005413,0.005413,0.005413
141,9321.97,1.0602,0.65267,1.18532,0.97921,0.96436,0.98805,0.65126,1.29573,0.49123,1.43947,0.00538,0.00538,0.00538
142,9388.07,1.07006,0.66672,1.19024,0.97748,0.96587,0.9882,0.65212,1.3002,0.50284,1.43671,0.005347,0.005347,0.005347
143,9453.94,1.06349,0.66357,1.18703,0.98248,0.95696,0.98646,0.652,1.29818,0.49602,1.43677,0.005314,0.005314,0.005314
144,9519.78,1.05809,0.66938,1.18902,0.98943,0.95854,0.98786,0.65118,1.30017,0.4919,1.43827,0.005281,0.005281,0.005281
145,9585.64,1.05756,0.66428,1.18688,0.9825,0.95823,0.98797,0.65287,1.29964,0.49468,1.43957,0.005248,0.005248,0.005248
146,9651.71,1.03733,0.65358,1.17205,0.96262,0.9669,0.98683,0.65287,1.30176,0.49465,1.43593,0.005215,0.005215,0.005215
147,9717.51,1.04742,0.64591,1.17664,0.97899,0.95421,0.98682,0.6526,1.30514,0.49571,1.43332,0.005182,0.005182,0.005182
148,9783.53,1.03656,0.65166,1.169,0.98158,0.94881,0.98492,0.65455,1.30967,0.49611,1.43251,0.005149,0.005149,0.005149
149,9849.57,1.04778,0.6524,1.17992,0.97548,0.95034,0.98234,0.65106,1.31776,0.49122,1.44272,0.005116,0.005116,0.005116
150,9915.38,1.04226,0.64688,1.17645,0.97107,0.95222,0.98214,0.65126,1.3155,0.4885,1.4402,0.005083,0.005083,0.005083
151,9981.42,1.05113,0.6516,1.1755,0.98231,0.9476,0.98476,0.64357,1.31616,0.4924,1.43928,0.00505,0.00505,0.00505
152,10047.5,1.02201,0.63487,1.16181,0.97772,0.96246,0.99152,0.64353,1.31598,0.48992,1.44244,0.005017,0.005017,0.005017
153,10113.9,1.03495,0.64842,1.17568,0.97456,0.96246,0.98914,0.64234,1.31265,0.49539,1.44259,0.004984,0.004984,0.004984
154,10180.1,1.02728,0.63466,1.1682,0.97136,0.96587,0.98759,0.64379,1.3078,0.49867,1.43865,0.004951,0.004951,0.004951
155,10246.2,1.02868,0.6311,1.16743,0.97914,0.96116,0.98968,0.64327,1.31255,0.49937,1.44043,0.004918,0.004918,0.004918
156,10312.2,1.02558,0.64233,1.17398,0.97535,0.96246,0.98845,0.65034,1.31507,0.49638,1.44411,0.004885,0.004885,0.004885
157,10378,1.0157,0.63068,1.16472,0.98021,0.95563,0.9877,0.65066,1.31437,0.49173,1.44491,0.004852,0.004852,0.004852
158,10444.2,1.02445,0.63666,1.16213,0.97621,0.95904,0.98827,0.65259,1.31351,0.4939,1.44391,0.004819,0.004819,0.004819
159,10510.1,1.01778,0.62853,1.15605,0.97914,0.96141,0.98847,0.65082,1.31308,0.49517,1.44349,0.004786,0.004786,0.004786
160,10576.2,1.0224,0.62643,1.164,0.97575,0.96128,0.98711,0.64907,1.3127,0.49096,1.44477,0.004753,0.004753,0.004753
161,10642.3,1.00458,0.62848,1.15828,0.97905,0.95563,0.98894,0.64937,1.31361,0.49027,1.44431,0.00472,0.00472,0.00472
162,10708.3,1.00329,0.62913,1.1589,0.97912,0.96049,0.98862,0.65066,1.31048,0.4885,1.44342,0.004687,0.004687,0.004687
163,10774.4,1.00462,0.62373,1.15772,0.97922,0.96476,0.98897,0.65061,1.31149,0.49019,1.44374,0.004654,0.004654,0.004654
164,10840.6,1.00614,0.62361,1.15632,0.98526,0.95904,0.98887,0.64837,1.31351,0.49289,1.4486,0.004621,0.004621,0.004621
